Date,Open,High,Low,Close,Adj Close
30/04/2019,50.764999,50.849998,49.7775,50.1675,48.910343
01/05/2019,52.470001,53.827499,52.307499,52.630001,51.31115
02/05/2019,52.459999,53.162498,52.032501,52.287498,50.977222
03/05/2019,52.7225,52.959999,52.557499,52.9375,51.610939
06/05/2019,51.072498,52.209999,50.875,52.119999,50.813919
07/05/2019,51.470001,51.855,50.2075,50.715,49.44413
08/05/2019,50.474998,51.334999,50.4375,50.724998,49.453876
09/05/2019,50.099998,50.419998,49.165001,50.18,48.922543
10/05/2019,49.355,49.712502,48.192501,49.294998,48.244785
13/05/2019,46.927502,47.369999,45.712502,46.43,45.440826
14/05/2019,46.602501,47.424999,46.352501,47.165001,46.160168
15/05/2019,46.567501,47.9375,46.505001,47.73,46.713131
16/05/2019,47.477501,48.1175,47.209999,47.52,46.507603
17/05/2019,46.732498,47.724998,46.689999,47.25,46.243359
20/05/2019,45.880001,46.087502,45.07,45.772499,44.797337
21/05/2019,46.305,47,46.174999,46.650002,45.656139
22/05/2019,46.165001,46.427502,45.637501,45.695,44.721481
23/05/2019,44.950001,45.134998,44.452499,44.915001,43.958103
24/05/2019,45.049999,45.535,44.654999,44.7425,43.789276
28/05/2019,44.73,45.147499,44.477501,44.557499,43.608219
29/05/2019,44.105,44.837502,44,44.345001,43.400249
30/05/2019,44.487499,44.807499,44.1675,44.575001,43.625347
31/05/2019,44.057499,44.497501,43.747501,43.767502,42.835045
03/06/2019,43.900002,44.48,42.567501,43.325001,42.40197
04/06/2019,43.860001,44.9575,43.630001,44.91,43.953209
05/06/2019,46.07,46.247501,45.285,45.634998,44.662762
06/06/2019,45.77,46.3675,45.537498,46.305,45.318485
07/06/2019,46.627499,47.98,46.442501,47.537498,46.524731
10/06/2019,47.952499,48.842499,47.904999,48.145,47.119282
11/06/2019,48.715,49,48.400002,48.702499,47.664909
12/06/2019,48.487499,48.9925,48.3475,48.547501,47.51321
13/06/2019,48.674999,49.197498,48.400002,48.537498,47.503426
14/06/2019,47.887501,48.397499,47.575001,48.185001,47.158436
17/06/2019,48.224998,48.740002,48.0425,48.4725,47.439812
18/06/2019,49.012501,50.072498,48.802502,49.612499,48.555523
19/06/2019,49.919998,49.970001,49.327499,49.467499,48.413612
20/06/2019,50.092499,50.1525,49.5075,49.865002,48.802643
21/06/2019,49.700001,50.212502,49.537498,49.695,48.636265
24/06/2019,49.634998,50.040001,49.5425,49.645,48.587334
25/06/2019,49.607498,49.814999,48.822498,48.892502,47.850868
26/06/2019,49.442501,50.247501,49.337502,49.950001,48.885838
27/06/2019,50.072498,50.392502,49.892502,49.935001,48.871151
28/06/2019,49.669998,49.875,49.262501,49.48,48.425846
01/07/2019,50.7925,51.122501,50.162498,50.387501,49.314014
02/07/2019,50.352501,50.782501,50.34,50.682499,49.602722
03/07/2019,50.82,51.110001,50.672501,51.102501,50.013775
05/07/2019,50.837502,51.27,50.724998,51.057499,49.969742
08/07/2019,50.202499,50.349998,49.602501,50.005001,48.939667
09/07/2019,49.799999,50.377499,49.702499,50.310001,49.238163
10/07/2019,50.462502,50.932499,50.389999,50.807499,49.725063
11/07/2019,50.827499,51.0975,50.427502,50.4375,49.362946
12/07/2019,50.612499,51,50.549999,50.825001,49.742195
15/07/2019,51.022499,51.467499,51,51.302502,50.209522
16/07/2019,51.147499,51.5275,50.875,51.125,50.035805
17/07/2019,51.012501,51.272499,50.817501,50.837502,49.754425
18/07/2019,51,51.470001,50.924999,51.415001,50.319626
19/07/2019,51.447498,51.625,50.59,50.647499,49.568474
22/07/2019,50.912498,51.807499,50.9025,51.805,50.701313
23/07/2019,52.115002,52.227501,51.822498,52.209999,51.097683
24/07/2019,51.9175,52.287498,51.7925,52.1675,51.056091
25/07/2019,52.2225,52.310001,51.682499,51.755001,50.652386
26/07/2019,51.869999,52.432499,51.785,51.935001,50.828545
29/07/2019,52.115002,52.66,52.110001,52.419998,51.303207
30/07/2019,52.189999,52.540001,51.827499,52.195,51.083012
31/07/2019,54.105,55.342499,52.825001,53.259998,52.125313
01/08/2019,53.474998,54.5075,51.685001,52.107498,50.997364
02/08/2019,51.3825,51.607498,50.407501,51.005001,49.918362
05/08/2019,49.497501,49.662498,48.145,48.334999,47.305241
06/08/2019,49.077499,49.517502,48.509998,49.25,48.200745
07/08/2019,48.852501,49.889999,48.455002,49.759998,48.699879
08/08/2019,50.049999,50.8825,49.8475,50.857498,49.774002
09/08/2019,50.325001,50.689999,49.822498,50.247501,49.363842
12/08/2019,49.904999,50.512501,49.787498,50.119999,49.238586
13/08/2019,50.255001,53.035,50.119999,52.2425,51.323753
14/08/2019,50.790001,51.610001,50.647499,50.6875,49.796104
15/08/2019,50.865002,51.285,49.9175,50.435001,49.54805
16/08/2019,51.07,51.790001,50.959999,51.625,50.717121
19/08/2019,52.654999,53.182499,52.5075,52.587502,51.662693
20/08/2019,52.720001,53.337502,52.580002,52.59,51.665142
21/08/2019,53.247501,53.412498,52.900002,53.16,52.225121
22/08/2019,53.297501,53.610001,52.6875,53.115002,52.180912
23/08/2019,52.357498,53.012501,50.25,50.66,49.769089
26/08/2019,51.465,51.797501,51.264999,51.622501,50.714661
27/08/2019,51.965,52.137501,50.8825,51.040001,50.14241
28/08/2019,51.025002,51.43,50.830002,51.3825,50.478874
29/08/2019,52.125,52.330002,51.665001,52.252499,51.333572
30/08/2019,52.540001,52.612499,51.799999,52.185001,51.267269
03/09/2019,51.607498,51.744999,51.055,51.424999,50.520634
04/09/2019,52.0975,52.369999,51.830002,52.297501,51.377792
05/09/2019,53,53.4925,52.877499,53.32,52.382309
06/09/2019,53.512501,53.605,53.127499,53.314999,52.377392
09/09/2019,53.709999,54.110001,52.767502,53.5425,52.600895
10/09/2019,53.465,54.195,52.927502,54.174999,53.222271
11/09/2019,54.517502,55.927502,54.432499,55.897499,54.914478
12/09/2019,56.200001,56.605,55.715,55.772499,54.791679
13/09/2019,55,55.197498,54.255001,54.6875,53.725761
16/09/2019,54.432499,55.032501,54.389999,54.974998,54.008205
17/09/2019,54.990002,55.205002,54.779999,55.174999,54.204689
18/09/2019,55.264999,55.712502,54.860001,55.692501,54.713093
19/09/2019,55.502499,55.939999,55.092499,55.240002,54.268551
20/09/2019,55.345001,55.639999,54.3675,54.432499,53.475235
23/09/2019,54.737499,54.959999,54.412498,54.68,53.718395
24/09/2019,55.2575,55.622501,54.297501,54.419998,53.462959
25/09/2019,54.637501,55.375,54.285,55.2575,54.285736
26/09/2019,55,55.235001,54.7075,54.9725,54.005749
27/09/2019,55.134998,55.240002,54.32,54.705002,53.742958
30/09/2019,55.224998,56.145,55.197498,55.9925,55.007805
01/10/2019,56.267502,57.055,56.049999,56.147499,55.16008
02/10/2019,55.764999,55.895,54.482498,54.740002,53.777336
03/10/2019,54.607498,55.240002,53.782501,55.205002,54.234154
04/10/2019,56.41,56.872501,55.9725,56.752499,55.754448
07/10/2019,56.567501,57.482498,56.459999,56.764999,55.766724
08/10/2019,56.455002,57.014999,56.0825,56.099998,55.113419
09/10/2019,56.7575,56.947498,56.41,56.7575,55.759354
10/10/2019,56.982498,57.610001,56.825001,57.522499,56.510902
11/10/2019,58.237499,59.41,58.077499,59.052502,58.013992
14/10/2019,58.724998,59.532501,58.6675,58.967499,57.930492
15/10/2019,59.0975,59.412498,58.720001,58.830002,57.79541
16/10/2019,58.342499,58.810001,58.299999,58.592499,57.562088
17/10/2019,58.772499,59.037498,58.380001,58.82,57.785587
18/10/2019,58.647499,59.395,58.572498,59.102501,58.063118
21/10/2019,59.380001,60.247501,59.330002,60.127499,59.070087
22/10/2019,60.290001,60.549999,59.904999,59.990002,58.935013
23/10/2019,60.525002,60.810001,60.305,60.794998,59.725853
24/10/2019,61.127499,61.200001,60.452499,60.895,59.824093
25/10/2019,60.790001,61.682499,60.720001,61.645,60.560902
28/10/2019,61.855,62.3125,61.68,62.262501,61.167545
29/10/2019,62.2425,62.4375,60.642502,60.822498,59.752869
30/10/2019,61.189999,61.325001,60.302502,60.814999,59.745499
31/10/2019,61.810001,62.2925,59.314999,62.189999,61.096317
01/11/2019,62.384998,63.982498,62.290001,63.955002,62.830284
04/11/2019,64.332497,64.462502,63.845001,64.375,63.242893
05/11/2019,64.262497,64.547501,64.080002,64.282501,63.152023
06/11/2019,64.192497,64.372498,63.842499,64.309998,63.179035
07/11/2019,64.684998,65.087502,64.527496,64.857498,63.908211
08/11/2019,64.672501,65.110001,64.212502,65.035004,64.083107
11/11/2019,64.574997,65.6175,64.57,65.550003,64.590576
12/11/2019,65.387497,65.697502,65.230003,65.489998,64.531448
13/11/2019,65.282501,66.195,65.267502,66.1175,65.149773
14/11/2019,65.9375,66.220001,65.525002,65.660004,64.698959
15/11/2019,65.919998,66.445,65.752502,66.440002,65.467552
18/11/2019,66.449997,66.857498,66.057503,66.775002,65.797638
19/11/2019,66.974998,67,66.347504,66.572502,65.598114
20/11/2019,66.385002,66.519997,65.099998,65.797501,64.834442
21/11/2019,65.922501,66.002502,65.294998,65.502502,64.543762
22/11/2019,65.647499,65.794998,65.209999,65.445,64.487106
25/11/2019,65.677498,66.610001,65.629997,66.592499,65.617813
26/11/2019,66.735001,66.790001,65.625,66.072502,65.105415
